Branch,Reviews,Restaurant,Review_Date
Geetham Veg Restaurant,"Food was awesome.
But Service was poor and i felt the staffs and Table services have been poorly trained of how to talk and behave like a Highly regarded Restaurant, since its …",Geetham,2026-03-14
Geetham Veg Restaurant,"Went there for lunch and it was pretty bad. Admitted that it was peak afternoon and a bit crowded but that's not excuse for the average quality of food and lack of cleanliness. The basundhi was watery, same with the lassi.more like …",Geetham,2026-01-26
Geetham Veg Restaurant,"This is one of the best veg restaurants in Chennai these days. Gone are the days of A2B, Sarvana Bhavan etc. I was there today with my family and we really had a great experience. The food was delicious and the service too.",Geetham,2025-12-24
Geetham Veg Restaurant,"Food was good initially but in recent times, the taste has considerably dropped. Quality of food is good but too much of oil. Hence, definitely not healthy. Service has been quite poor from the start. A lot of chaos, conflict and fight …",Geetham,2026-01-18
Geetham Veg Restaurant,Perfect veg food place .  Fresh food .  Ordered mysore bonda and onion bhaji with tea .,Geetham,2026-03-01
Geetham Veg Restaurant,"Today, 15th February 2026, we visited Geetham Restaurant located on GST Road near Grand Galada for lunch. …",Geetham,2026-03-30
Geetham Veg Restaurant,"All Geetham regulars, pls avoid a great disappointment with this specific outlet. I guess its made for people on the go not for a regular who relishes. …",Geetham,2026-01-31
Geetham Veg Restaurant,"I have been coming to this particular geetham a lot with family, alone and with friends. I have always had a problem of the waiting staff not taking my orders or asking if i need anything else or even help me with menu. But Mr. Sikandhers …",Geetham,2026-01-02
Geetham Veg Restaurant,"We had ordered North Indian thali and South Indian thali.It was not tasty at all. I never expected this type of food.No taste at all, Except the brand name.
Panner tikka was minimal in taste..
It was a waste of money and worthless.",Geetham,2026-05-12
Geetham Veg Restaurant,"Went yesterday evening with my brothers' family from hyderabad who came to admit their son in srm university.   The place was very
noisy.  We went around 6.15 pm.  We asked if soup items and starters are …",Geetham,2026-04-12
Geetham Veg Restaurant,"Came here many times while visiting family in India. Though crowded, there was always virtually no wait to go inside. Tried many foods here and always liked everything I tried. Personal favorites include the ghee roast dosa. Appetizers were …",Geetham,2026-01-19
Geetham Veg Restaurant,"Always crowded but managed well.

Coming to the food quality, I feel the service has degraded substantially and …",Geetham,2026-05-15
Geetham Veg Restaurant,"🌟 Vegetarian Delight at Geetham! 🌟
Geetam is a great spot for vegetarian food lovers! The menu offers a wide range of delicacies from South Indian, North Indian, and Chinese cuisines, along with …",Geetham,2025-12-24
Geetham Veg Restaurant,"Yesterday, We had meals at Geetham Veg, Pallavaram. While eating, I found a hard stone-like object in the food (photo attached). When I informed the staff, the response was disappointing and lacked concern for customer safety. …",Geetham,2026-01-23
Geetham Veg Restaurant,yesterday i visited and taken parcel of idiappam thengai pal ( coconut milk) (Rs.173.00 is debited from your account ending 0854 towards VPA q135599817@ybl (Geetham Billing Counter) on 03-06-26.UPI transaction reference no.: 124149121945) . …,Geetham,2026-02-12
Geetham Veg Restaurant,"We waited for nearly half an hour for our family dinner. Unfortunately, the food quality was disappointing. The Palak Paneer was not up to the mark, the Mint Lemon tasted like plain water, and the Badam Milk was the worst we have had, with …",Geetham,2026-03-08
Geetham Veg Restaurant,"We had breakfast at the hotel, and the food was delicious. We tried the ghee roast masala dosa, which turned out to be excellent. The filter coffee was superb and truly stood out. …",Geetham,2026-02-18
Geetham Veg Restaurant,"Great place for delicious vegetarian food with a calm, pleasant atmosphere. Sweets and savories are worth trying, and parking is available too. …",Geetham,2025-12-18
Geetham Veg Restaurant,Geetham was very highly recommended vegetarian restaurant in Chennai.We ordered 2 tamilnadu meals and north Indian thali.Both meals were good but the price was very higher for the quantity given.They had six branches in Chennai.The ambience and service was very great.Must visit this place for a good food.,Geetham,2026-03-07
Geetham Veg Restaurant,"This is one of the best vegetarian restaurants around Chennai. The price is similar to other popular brands and the taste was equally great. The honey chilli potato was fantastic, they didn't use the fries, instead they used freshly chopped potatoes. The service could have been better.",Geetham,2026-04-17
Geetham Veg Restaurant,Vegetarian chain of restaurant in the ground floor of PVR Grand mall. Restaurant is opened till 2 AM in the night. Crowded in the late night and weekends especially with minimum waiting time of 30 minutes. Ambiance and taste of food are ok. Wheelchair accessible entrance and toilets are available.,Geetham,2026-04-24
Geetham Veg Restaurant,"Bad experience at Geetham, opp. airport

On 26/04/26 morning myself and my wife went to Geetham restaurant, opp Airport …",Geetham,2026-02-10
Geetham Veg Restaurant,"Hello
I'm a regular visitor for breakfast (while in Chennai) at Geetham - Urapakkam branch - No complaints, Satisfactory service, quality of food good. …",Geetham,2026-04-27
Geetham Veg Restaurant,Yesterday night at 9pm we went to have dinner but very bad experience faced in pani puri there was a flies when asked the waiter without taking seriously his reply was the flie is sick that the reason it couldn't able to fly. …,Geetham,2026-02-28
Geetham Veg Restaurant,"I visited Geetham restaurant (opposite the Airport Metro) today around 12:30 PM, and I am extremely disappointed with the service. A senior staff member in a yellow dress demonstrated a complete lack of professional etiquette. When I asked …",Geetham,2026-04-24
Geetham Veg Restaurant,"Great food and good service. Valet car parking is available. Dessert varieties are available. Open till 2 AM now. South Indian North Indian ,shakes, Chinese Chats sweets N savories.",Geetham,2026-05-21
"Geetham Veg Restaurant   Vettuvankeni, ECR",Very good ambiance. Premium pricing as in all their branches. Very courteous polite & prompt service.  Well groomed neatly dressed staff.  Some of the items were not up to the standards of Geetham.  Mentioned in the photos individually. ( Please see if interested ) Plenty of car parking & disabled friendly restaurant.,Geetham,2026-05-21
"Geetham Veg Restaurant   Vettuvankeni, ECR",Tasty dosa and ice creams. Triple fried rice was ok. Service was good and staff were friendly. Ample parking spot.,Geetham,2026-01-11
"Geetham Veg Restaurant   Vettuvankeni, ECR","Newly opened Geetham on ECR at Vettuvankeni is definitely worth a visit! We went there for a Sunday lunch, and since the crowd was moderate, there was no waiting time. …",Geetham,2026-04-11
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had an amazing dining experience today. The food was excellent, especially the Hyderabadi veggie biryani, which was packed with flavor. I wrapped up the meal with a truly unique and delicious rasmalai kunafa. highly recommend trying it! …",Geetham,2025-12-14
"Geetham Veg Restaurant   Vettuvankeni, ECR","Good location on ECR with good catchment area, good parking, still new restaurant in 2026. …",Geetham,2026-01-19
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a wonderful experience with the service provided by Silambarasi. She was very fast, attentive, and truly understood our needs perfectly. Her hospitality and professionalism made our stay even better. She is definitely a great asset to the hotel. Highly appreciated!",Geetham,2026-01-06
"Geetham Veg Restaurant   Vettuvankeni, ECR","Captain Lalitha has...very stupendous, sweet, polite,great hospitality... behaviour! Keep her business!",Geetham,2026-04-23
"Geetham Veg Restaurant   Vettuvankeni, ECR","Food was obviously food like other geethams , it's newly opened with very good parking space . Big menu and very good sambar .
. Service quality needs to be improved, i had long wait and reaching staff was difficult. Overall good food .",Geetham,2026-02-19
"Geetham Veg Restaurant   Vettuvankeni, ECR","Had a nice lunch at Geetham. It is a new outlet from their brand and the second one on the ECR. Located before A2B, if you’re coming towards Thiruvanmiyur.
Nice atmosphere and the service was good. …",Geetham,2025-12-21
"Geetham Veg Restaurant   Vettuvankeni, ECR","Very worst service in awaiting more than 1h, my order also not given properly I ask spicy but rec'd different.  Very very disappoint and worst experience here after not visiting this restaurant 😡😡 …",Geetham,2026-05-20
"Geetham Veg Restaurant   Vettuvankeni, ECR","The ambience was really good. Menu was top-notch. Food was tasty. We had quick lunch, meals, and paneer fried rice. We absolutely loved the paneer kebab. The meals was unlimited, which was really useful and fulfilling. Sambar rice in the quick lunch was tasted delicious. A big parking lot next to the hotel is an added advantage.",Geetham,2026-01-11
"Geetham Veg Restaurant   Vettuvankeni, ECR",Nice food and good taste. Very good service by gunasekaran and Saraswathi... Highly recommended...,Geetham,2026-01-26
"Geetham Veg Restaurant   Vettuvankeni, ECR","Worst Service we went with our family members of 5 peoples and while going to the table itself the manger directed to one table and while we are attempting to go to the table already it was equipped and people where consuming the food, and …",Geetham,2026-05-09
"Geetham Veg Restaurant   Vettuvankeni, ECR","Service was really good and food too
Silambarasi did a great job.
She made us all comfortable and happy",Geetham,2026-02-09
"Geetham Veg Restaurant   Vettuvankeni, ECR",We came for the pre order Tamil new year meal .in 11 o clock slot the food was good,Geetham,2026-01-15
"Geetham Veg Restaurant   Vettuvankeni, ECR","CAPTAIN LALITHA
I had a wonderful experience at geetham today. The food and the service was excellent. I look forward to come here soon!
Would definitely recommend to my family and friends",Geetham,2026-03-18
"Geetham Veg Restaurant   Vettuvankeni, ECR",This what you get if you order ghee masala dosa from Geetham injambakkam!! Paid 235 rs for this dosa. People come to you for your quality please don’t cheat them. If you charge high..your quality should also be the same! Beware people!,Geetham,2026-05-30
"Geetham Veg Restaurant   Vettuvankeni, ECR","Good good choices, good ambience and good taste too. silambarasi gave very good service. She was very professional and courteous 👏👏 …",Geetham,2026-03-23
